Team,SOS,NET,Offensive Rating,Defensive Rating,EFG,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,PACE,3PAR,FTAR,PPG,FG%,2FG%,3FG%,FT%,APG,AST-TOV,Allowed_PPG,Allowed_FG%,2Point_Allowed_FG%,3Point_Allowed_FG%,SPG,BPG,Fouls,ADJOE,ADJDE,BARTHAG,WAB,CONF
Duke,23,1,125.5,93.7,58.20%,61.60%,34.20%,73.30%,55.60%,58.30%,10.00%,6.60%,66.7,0.448,0.326,83.7,49.60%,58.40%,38.60%,79.00%,17,1.81,62.6,38.50%,43.30%,30.80%,6.7,3.9,15.8,130.21,91.84,0.98242,9.35,ACC
Gonzaga,42,8,121.8,98.1,56.10%,59.70%,32.50%,73.20%,53.80%,62.40%,10.50%,4.90%,70.2,0.336,0.307,86.4,50.10%,57.60%,35.40%,80.40%,19.7,2.07,69.9,41.40%,48.90%,30.30%,7.5,3,16.9,124.711,96.628,0.94998,2.632,WCC
Florida,14,4,121.2,98.7,55.10%,58.10%,38.90%,70.90%,55.70%,52.50%,10.50%,7.40%,70.5,0.437,0.343,85.4,47.30%,56.20%,35.80%,72.70%,15.7,1.44,69.7,40.00%,46.20%,29.60%,7.4,4.5,17.3,128.62,94.815,0.97084,11.03,SEC
High Point,190,82,120.6,105.2,56.30%,59.90%,33.50%,69.40%,52.40%,45.20%,8.70%,4.60%,67.1,0.394,0.372,81.2,49.10%,57.30%,36.60%,76.20%,12.8,1.25,70.7,43.20%,48.90%,32.90%,5.8,2.6,18.3,117.73,108.121,0.725783,-1.866,BSth
Auburn,2,2,120.4,99.6,55.10%,58.10%,34.40%,70.50%,52.90%,55.20%,9.70%,10.30%,68.9,0.407,0.338,83.2,47.70%,55.70%,36.10%,72.80%,16.3,1.74,69.2,40.60%,46.60%,29.60%,6.8,6,18.4,128.13,93.09,0.97543,12.61,SEC
Villanova,107,55,119.7,109.2,54.90%,60.40%,30.20%,72.60%,52.30%,49.00%,8.90%,4.20%,61.6,0.436,0.289,73.7,46.20%,51.10%,39.80%,80.00%,12.1,1.26,67.4,43.10%,50.30%,34.70%,5.5,2.2,15,119.62,102.595,0.855845,-2.874,BE
Missouri,24,16,119.4,105.1,55.80%,59.60%,33.50%,67.70%,50.90%,49.00%,13.30%,4.60%,69.8,0.414,0.471,83.6,48.20%,56.30%,36.70%,73.00%,13.5,1.24,73.6,44.50%,51.20%,33.60%,9.4,2.6,18.3,125.97,101.18,0.926019,3.13,SEC
Texas Tech,30,7,119.4,101.3,54.80%,57.80%,34.20%,71.70%,53.10%,56.20%,9.30%,5.50%,66.6,0.444,0.292,80.9,46.60%,54.50%,36.70%,76.00%,16.1,1.67,68.5,42.60%,47.90%,32.40%,6.3,3.1,15.8,126.06,97.436,0.95057,5.711,B12
North Dakota State,275,136,118.9,112.5,58.20%,61.60%,26.20%,71.00%,50.20%,55.20%,5.30%,2.90%,66.7,0.536,0.326,80.7,47.60%,56.50%,39.80%,79.00%,14.9,1.41,76,44.60%,51.30%,34.30%,3.6,1.8,15.1,115.552,111.327,0.6050122,-6.513,Sum
Oregon State,170,85,118.9,109.5,54.60%,60.90%,31.80%,72.40%,53.30%,55.20%,9.50%,5.00%,62.9,0.359,0.389,75.7,48.00%,54.50%,36.50%,78.90%,13.9,1.32,69.3,43.90%,50.40%,34.70%,6,2.7,15.6,115.849,107.9206,0.691494,-4.496,WCC
